unique,ID,dates,year,site,department,country,region,livestock,clivestock,altitude,lon,lat,sex,age,rep,dc13,dn15,idistance,pca1,pca2,bartonella,hemoplasma,coinfection
6147 spring 2013,6147,3/7/13,2013,AM1,Amazonas,Peru,AM/CA,high,32.62365189,660,-78.29150034,-5.212241,F,A,N,-10.72,9.46,2.864489483,NA,NA,NA,NA,NA
6149 spring 2013,6149,3/7/13,2013,AM1,Amazonas,Peru,AM/CA,high,32.62365189,660,-78.29150034,-5.212241,M,A,Y,-8.89,9.69,4.450404476,NA,NA,NA,NA,NA
6146 summer 2013,6146,7/14/13,2013,AM1,Amazonas,Peru,AM/CA,high,32.62365189,660,-78.29150034,-5.212241,F,A,N,-9.195,8.72,3.748856492,NA,NA,NA,NA,NA
6256 spring 2013,6256,3/7/13,2013,AM1,Amazonas,Peru,AM/CA,high,32.62365189,660,-78.29150034,-5.212241,F,A,N,-7.84,12.21,6.84485208,NA,NA,NA,NA,NA
6257 spring 2013,6257,3/7/13,2013,AM1,Amazonas,Peru,AM/CA,high,32.62365189,660,-78.29150034,-5.212241,M,A,Y,-9.2,10.82,4.900499974,NA,NA,NA,NA,NA
6160 summer 2013,6160,7/14/13,2013,AM1,Amazonas,Peru,AM/CA,high,32.62365189,660,-78.29150034,-5.212241,F,A,N,-7.54,11.23,6.432044776,NA,NA,NA,NA,NA
6146 spring 2013,6146,3/7/13,2013,AM1,Amazonas,Peru,AM/CA,high,32.62365189,660,-78.29150034,-5.212241,F,A,Y,-10.2,8.89,2.915475947,NA,NA,NA,NA,NA
6256 fall 2015,6256,10/17/15,2015,AM1,Amazonas,Peru,AM/CA,high,32.62365189,660,-78.29150034,-5.212241,F,A,N,-9.794,10.527,4.276167092,1.123345283,-0.835595622,NA,NA,NA
6159 summer 2013,6159,7/14/13,2013,AM1,Amazonas,Peru,AM/CA,high,32.62365189,660,-78.29150034,-5.212241,M,SA,N,-9,11.69,5.672741841,NA,NA,NA,NA,NA
6164 spring 2015,6164,4/23/15,2015,AM1,Amazonas,Peru,AM/CA,high,32.62365189,660,-78.29150034,-5.212241,M,A,Y,-11.96,10.7,3.391710483,0.787244317,0.34596777,0,1,0
6144 spring 2013,6144,3/7/13,2013,AM1,Amazonas,Peru,AM/CA,high,32.62365189,660,-78.29150034,-5.212241,F,A,N,-9.11,10.1,4.498021787,NA,NA,NA,NA,NA
6150 spring 2013,6150,3/7/13,2013,AM1,Amazonas,Peru,AM/CA,high,32.62365189,660,-78.29150034,-5.212241,F,A,N,-10.51,9.42,2.986134625,NA,NA,NA,NA,NA
6163 summer 2013,6163,7/14/13,2013,AM1,Amazonas,Peru,AM/CA,high,32.62365189,660,-78.29150034,-5.212241,F,A,N,-10.85,8.72,2.278464395,NA,NA,NA,NA,NA
6263 spring 2013,6263,3/7/13,2013,AM1,Amazonas,Peru,AM/CA,high,32.62365189,660,-78.29150034,-5.212241,F,J,N,NA,NA,NA,NA,NA,NA,NA,NA
6258 spring 2013,6258,3/7/13,2013,AM1,Amazonas,Peru,AM/CA,high,32.62365189,660,-78.29150034,-5.212241,M,A,Y,-10.65,10.32,3.575947427,NA,NA,NA,NA,NA
6157 summer 2013,6157,7/14/13,2013,AM1,Amazonas,Peru,AM/CA,high,32.62365189,660,-78.29150034,-5.212241,F,A,N,-10.62,9.235,2.780364185,NA,NA,NA,NA,NA
D100 fall 2015,D100,10/12/15,2015,AM1,Amazonas,Peru,AM/CA,high,32.62365189,660,-78.29150034,-5.212241,M,A,Y,-11.69,9.85,2.659266816,-0.226100739,-0.812363256,NA,NA,NA
6251 spring 2013,6251,3/7/13,2013,AM1,Amazonas,Peru,AM/CA,high,32.62365189,660,-78.29150034,-5.212241,M,A,Y,-9.09,9.79,4.334985582,NA,NA,NA,NA,NA
6253 spring 2013,6253,3/7/13,2013,AM1,Amazonas,Peru,AM/CA,high,32.62365189,660,-78.29150034,-5.212241,F,A,Y,-8.58,9.78,4.763034747,NA,NA,NA,NA,NA
6161 summer 2013,6161,8/11/13,2013,AM1,Amazonas,Peru,AM/CA,high,32.62365189,660,-78.29150034,-5.212241,F,SA,N,-9.09,10.55,4.797676521,NA,NA,NA,NA,NA
6162 summer 2013,6162,8/11/13,2013,AM1,Amazonas,Peru,AM/CA,high,32.62365189,660,-78.29150034,-5.212241,M,SA,Y,NA,NA,NA,NA,NA,NA,NA,NA
D234 summer 2016,D234,8/9/16,2016,AM1,Amazonas,Peru,AM/CA,high,32.62365189,660,-78.29150034,-5.212241,M,A,N,-10.11,11.61,4.951413939,-0.525867632,0.533273254,1,1,1
D235 summer 2016,D235,8/9/16,2016,AM1,Amazonas,Peru,AM/CA,high,32.62365189,660,-78.29150034,-5.212241,M,A,N,-8.65,12.813,6.768414068,0.333565706,1.02523914,1,1,1
6164 summer 2013,6164,7/14/13,2013,AM1,Amazonas,Peru,AM/CA,high,32.62365189,660,-78.29150034,-5.212241,M,SA,Y,NA,NA,NA,NA,NA,NA,NA,NA
6259 spring 2013,6259,3/7/13,2013,AM1,Amazonas,Peru,AM/CA,high,32.62365189,660,-78.29150034,-5.212241,F,J,Y,-9.31,11.14,5.055155784,NA,NA,NA,NA,NA
6260 spring 2013,6260,3/7/13,2013,AM1,Amazonas,Peru,AM/CA,high,32.62365189,660,-78.29150034,-5.212241,F,A,Y,-9.53,9.41,3.758896115,NA,NA,NA,NA,NA
